nci60	ccle	cgp	gdsc	gdscDec15	ctrp	nciSclc	mdaMills	almanac	utsw	sarcoma	genSclc	nob	gbSarcoma	cshl	lantern	lantnci	ncats	uniSarcoma	genSarcoma	tncats	achilles	ukhyun	ancats	acc	prism	cellosaurus_accession	cellosaurus_identifier
NA	SH-SY5Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SH-SY5Y	NA	NA	SH-SY5Y	NA	NA	CVCL_0019	SH-SY5Y
NA	SIG-M5	NA	SIG-M5	SIG-M5	SIG-M5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1694	SIG-M5
NA	SK-BR-3	NA	NA	NA	SK-BR-3	NA	SKBR3	NA	NA	NA	NA	NA	NA	NA	NA	NA	SKBR3	NA	NA	NA	SKBR3	NA	NA	NA	NA	CVCL_0033	SK-BR-3
NA	SK-ES-1	NA	SK-ES-1	SK-ES-1	SK-ES-1	NA	SKES1	NA	NA	SK-ES-1	NA	NA	SKES1	NA	NA	NA	NA	SK-ES-1	SK-ES-1	NA	SKES1	NA	NA	NA	SKES1	CVCL_0627	SK-ES-1
NA	SK-MEL-1	NA	SK-MEL-1	SK-MEL-1	SK-MEL-1	NA	SKMEL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0068	SK-MEL-1
NA	SK-MEL-31	NA	SK-MEL-31	SK-MEL-31	SK-MEL-31	NA	SKMEL31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0600	SK-MEL-31
NA	SK-N-BE(2)	NA	NA	NA	SK-N-BE(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SKNBE2	NA	NA	NA	SKNBE2	CVCL_0528	SK-N-BE(2)
NA	SK-N-MC	NA	NA	NA	SK-N-MC	NA	NA	NA	NA	SK-N-MC	NA	NA	SKNMC	NA	NA	NA	NA	SK-N-MC	SK-N-MC	NA	SKNMC	NA	NA	NA	NA	CVCL_0530	SK-N-MC
NA	SK-N-SH	NA	SK-N-SH	SK-N-SH	SK-N-SH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0531	SK-N-SH
NA	SK-RC 31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6186	SK-RC-31
NA	SK-RC-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SKRC20	NA	NA	NA	NA	CVCL_V605	SK-RC-20
NA	SLR 20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SLR20	NA	NA	NA	NA	CVCL_V606	SLR20
NA	SLR 21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_V607	SLR21
NA	SLR 23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SLR23	NA	NA	NA	NA	CVCL_V609	SLR23
NA	SLR 24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SLR24	NA	NA	NA	NA	CVCL_V610	SLR24
NA	SLR 25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_V611	SLR25
NA	SLR 26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SLR26	NA	NA	NA	NA	CVCL_V612	SLR26
NA	SNU-1033	NA	NA	NA	SNU-1033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU1033	NA	NA	NA	NA	CVCL_5002	SNU-1033
NA	SNU-1040	NA	SNU-1040	SNU-1040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5003	SNU-1040
NA	SNU-1041	NA	NA	NA	SNU-1041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU1041	NA	NA	NA	SNU1041	CVCL_L085	SNU-1041
NA	SNU-1066	NA	NA	NA	SNU-1066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU1066	NA	NA	NA	SNU1066	CVCL_5005	SNU-1066
NA	SNU-1076	NA	NA	NA	SNU-1076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU1076	NA	NA	NA	SNU1076	CVCL_5006	SNU-1076
NA	SNU-1077	NA	NA	NA	SNU-1077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU-1077	NA	SNU1077	NA	NA	NA	SNU1077	CVCL_5007	SNU-1077
NA	SNU-1079	NA	NA	NA	SNU-1079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU1079	NA	NA	NA	SNU1079	CVCL_5008	SNU-1079
NA	SNU-1105	NA	NA	NA	SNU-1105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU1105	NA	NA	NA	SNU1105	CVCL_5010	SNU-1105
NA	SNU-119	NA	NA	NA	SNU-119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5014	SNU-119
NA	SNU-1196	NA	NA	NA	SNU-1196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU-1196	SNU1196	NA	SNU-1196	NA	SNU1196	CVCL_5015	SNU-1196
NA	SNU-1197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5016	SNU-1197
NA	SNU-1214	NA	NA	NA	SNU-1214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU1214	CVCL_5017	SNU-1214
NA	SNU-1272	NA	NA	NA	SNU-1272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_8788	SNU-1272
NA	SNU-175	NA	SNU-175	SNU-175	SNU-175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5031	SNU-175
NA	SNU-182	NA	SNU-182	SNU-182	SNU-182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU182	NA	NA	NA	NA	CVCL_0090	SNU-182
NA	SNU-201	NA	NA	NA	SNU-201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU201	NA	NA	NA	NA	CVCL_5033	SNU-201
NA	SNU-213	NA	NA	NA	SNU-213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU213	NA	NA	NA	SNU213	CVCL_5034	SNU-213
NA	SNU-216	NA	NA	NA	SNU-216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU216	NA	NA	NA	NA	CVCL_3946	SNU-216
NA	SNU-245	NA	NA	NA	SNU-245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU245	CVCL_5038	SNU-245
NA	SNU-283	NA	SNU-283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5044	SNU-283
NA	SNU-308	NA	NA	NA	SNU-308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU308	NA	NA	NA	SNU308	CVCL_5048	SNU-308
NA	SNU-324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5051	SNU-324
NA	SNU-349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU349	NA	NA	NA	NA	CVCL_5054	SNU-349
NA	SNU-398	NA	SNU-398	SNU-398	SNU-398	NA	SNU398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU398	NA	NA	NA	SNU398	CVCL_0077	SNU-398
NA	SNU-407	NA	SNU-407	SNU-407	SNU-407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU407	CVCL_5058	SNU-407
NA	SNU-410	NA	NA	NA	SNU-410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU410	NA	NA	NA	SNU410	CVCL_5059	SNU-410
NA	SNU-46	NA	NA	NA	SNU-46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU46	NA	NA	NA	SNU46	CVCL_5063	SNU-46
NA	SNU-466	NA	NA	NA	SNU-466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU466	CVCL_5064	SNU-466
NA	SNU-478	NA	NA	NA	SNU-478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU478	NA	NA	NA	NA	CVCL_5065	SNU-478
NA	SNU-489	NA	NA	NA	SNU-489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5069	SNU-489
NA	SNU-503	NA	NA	NA	SNU-503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU503	NA	NA	NA	NA	CVCL_5071	SNU-503
NA	SNU-520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5072	SNU-520
NA	SNU-601	NA	NA	NA	SNU-601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU601	NA	NA	NA	SNU601	CVCL_0101	SNU-601
NA	SNU-61	NA	SNU-61	SNU-61	SNU-61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU61	CVCL_5078	SNU-61
NA	SNU-620	NA	NA	NA	SNU-620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5079	SNU-620
NA	SNU-626	NA	NA	NA	SNU-626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU626	NA	NA	NA	NA	CVCL_5080	SNU-626
NA	SNU-668	NA	NA	NA	SNU-668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU668	NA	NA	NA	SNU668	CVCL_5081	SNU-668
NA	SNU-685	NA	NA	NA	SNU-685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU-685	NA	SNU685	NA	NA	NA	SNU685	CVCL_5083	SNU-685
NA	SNU-719	NA	NA	NA	SNU-719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU719	NA	NA	NA	SNU719	CVCL_5086	SNU-719
NA	SNU-738	NA	NA	NA	SNU-738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU738	NA	NA	NA	NA	CVCL_5087	SNU-738
NA	SNU-761	NA	NA	NA	SNU-761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU761	NA	NA	NA	SNU761	CVCL_5089	SNU-761
NA	SNU-8	NA	NA	NA	SNU-8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU8	NA	NA	NA	NA	CVCL_5096	SNU-8
NA	SNU-81	NA	SNU-81	SNU-81	SNU-81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU81	CVCL_5098	SNU-81
NA	SNU-840	NA	NA	NA	SNU-840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU840	NA	NA	NA	SNU840	CVCL_5100	SNU-840
NA	SNU-869	NA	NA	NA	SNU-869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU869	NA	NA	NA	SNU869	CVCL_5101	SNU-869
NA	SNU-878	NA	NA	NA	SNU-878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5102	SNU-878
NA	SNU-886	NA	NA	NA	SNU-886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNU886	NA	NA	NA	SNU886	CVCL_5103	SNU-886
NA	SNU-899	NA	NA	NA	SNU-899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5105	SNU-899
NA	SNU-C2A	NA	NA	NA	SNU-C2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNUC2A	CVCL_1709	SNU-C2A
NA	SNU-C4	NA	NA	NA	SNU-C4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNUC4	NA	NA	NA	SNUC4	CVCL_5111	SNU-C4
NA	SNU-C5	NA	SNU-C5	SNU-C5	SNU-C5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNUC5	CVCL_5112	SNU-C5
NA	Sq-1	NA	NA	NA	Sq-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SQ1	CVCL_4900	Sq-1
NA	SU-DHL-10	NA	SU-DHL-10	SU-DHL-10	SU-DHL-10	NA	SUDHL10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SUDHL10	NA	NA	NA	NA	CVCL_1889	SU-DHL-10
NA	SU-DHL-4	NA	SU-DHL-4	SU-DHL-4	SU-DHL-4	NA	SUDHL4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SU-DHL-4	SUDHL4	NA	SU-DHL-4	NA	NA	CVCL_0539	SU-DHL-4
NA	SU-DHL-5	NA	SU-DHL-5	SU-DHL-5	NA	NA	SUDHL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SU-DHL-5	NA	NA	SU-DHL-5	NA	NA	CVCL_1735	SU-DHL-5
NA	SU-DHL-6	NA	SU-DHL-6	SU-DHL-6	SU-DHL-6	NA	SUDHL6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SU-DHL-6	NA	NA	SU-DHL-6	NA	NA	CVCL_2206	SU-DHL-6
NA	SU-DHL-8	NA	SU-DHL-8	SU-DHL-8	SU-DHL-8	NA	SUDHL8	NA	NA	NA	NA	NA	NA	NA	NA	NA	SUDHL8	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2207	SU-DHL-8
NA	SU.86.86	NA	SU8686	SU8686	SU.86.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SU8686	NA	NA	NA	SU8686	NA	NA	NA	NA	CVCL_3881	SU.86.86
NA	SUIT-2	NA	SUIT-2	SUIT-2	SUIT-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SUIT2	NA	NA	NA	SUIT2	CVCL_3172	SUIT-2
NA	SUP-B15	NA	SUP-B15	SUP-B15	SUP-B15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0103	SUP-B15
NA	SUP-HD1	NA	SUP-HD1	SUP-HD1	SUP-HD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2208	SUP-HD1
NA	SUP-M2	NA	SUP-M2	SUP-M2	SUP-M2	NA	SUPM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SUPM2	NA	NA	NA	NA	CVCL_2209	SUP-M2
NA	SUP-T11	NA	NA	NA	SUP-T11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2210	SUP-T11
NA	NA	NA	NA	NA	NA	NA	NA	NA	H1607	NA	NCI-H1607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A467	NCI-H1607
NA	SW 1353	NA	NA	NA	SW 1353	NA	SW1353	NA	NA	SW 1353	NA	NA	SW1353	NA	NA	NA	NA	SW 1353	SW 1353	NA	NA	NA	NA	NA	SW1353	CVCL_0543	SW1353
NA	SW480	NA	NA	NA	NA	NA	SW480	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW480	NA	NA	NA	NA	NA	NA	NA	SW480	CVCL_0546	SW480
NA	SW579	NA	NA	NA	SW579	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW579	NA	SW579	NA	NA	NA	SW579	NA	NA	NA	SW579	CVCL_3603	SW579
NA	T.T	NA	T-T	T-T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TDOTT	CVCL_3174	T.T
NA	T3M-10	NA	NA	NA	T3M-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T3M10	CVCL_8067	T3M-10
NA	T3M-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T3M4	NA	NA	NA	NA	CVCL_4056	T3M-4
NA	TC-32	NA	NA	NA	NA	NA	TC32	NA	NA	TC-32	NA	NA	TC32	NA	NA	NA	NA	TC-32	TC-32	TC-32	TC32	NA	TC-32	NA	NA	CVCL_7151	TC-32
NA	TC-71	NA	TC-71	TC-71	TC-71	NA	TC71	NA	NA	TC-71	NA	NA	TC71	NA	NA	NA	NA	TC-71	TC-71	TC-71	TC71	NA	TC-71	NA	NA	CVCL_2213	TC-71
NA	TCC-PAN2	NA	NA	NA	TCC-PAN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCCPAN2	NA	NA	NA	TCCPAN2	CVCL_3178	TCC-Pan2
NA	TE 125.T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TE 125.T	NA	NA	NA	NA	NA	NA	CVCL_1740	TE 125.T
NA	TE 159.T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TE 159.T	NA	NA	NA	NA	NA	NA	CVCL_1743	TE 159.T
NA	TE 441.T	NA	TE-441-T	TE-441-T	TE 441.T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TE 441.T	NA	NA	NA	NA	NA	NA	CVCL_1754	TE 441.T
NA	TE 617.T	NA	NA	NA	TE 617.T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TE 617.T	NA	NA	NA	NA	NA	NA	CVCL_1755	TE 617.T
NA	TE-14	NA	NA	NA	TE-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TE14	CVCL_3336	TE-14
NA	TE-4	NA	TE-4	TE-4	TE-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TE4	NA	NA	NA	TE4	CVCL_3337	TE-4
NA	TEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TEN	NA	NA	NA	TEN	CVCL_E063	TEN
NA	TF-1	NA	NA	TF-1	TF-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TF1	NA	NA	NA	NA	CVCL_0559	TF-1
NA	TIG-3 TD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_V617	TIG-3 TD
NA	TM-31	NA	NA	NA	TM-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TM31	NA	NA	NA	TM31	CVCL_6735	TM-31
NA	TO 175.T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3806	TO 175.T
NA	Toledo	NA	NA	Toledo	Toledo	NA	TOLEDO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3611	Toledo
NA	TOV-112D	NA	TOV-112D	TOV-112D	TOV-112D	NA	TOV112D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TOV112D	NA	NA	NA	TOV112D	CVCL_3612	TOV-112D
NA	TOV-21G	NA	TOV-21G	TOV-21G	TOV-21G	NA	TOV21G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TOV21G	NA	NA	NA	TOV21G	CVCL_3613	TOV-21G
NA	TT2609-C02	NA	TT2609-C02	TT2609-C02	TT2609-C02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TT2609C02	CVCL_2218	TT2609-C02
NA	TUHR10TKB	NA	NA	NA	TUHR10TKB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TUHR10TKB	NA	NA	NA	NA	CVCL_5952	TUHR10TKB
NA	TUHR14TKB	NA	NA	NA	TUHR14TKB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TUHR14TKB	NA	NA	NA	NA	CVCL_5953	TUHR14TKB
NA	TUHR4TKB	NA	NA	NA	TUHR4TKB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TUHR4TKB	NA	NA	NA	TUHR4TKB	CVCL_5957	TUHR4TKB
NA	U-138 MG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0020	U-138MG
NA	U-178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A758	U-178MG
NA	U-937	NA	NA	NA	U-937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	U937	NA	NA	NA	U937	NA	NA	NA	NA	CVCL_0007	U-937
NA	U-BLC1	NA	NA	NA	U-BLC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UBLC1	CVCL_2738	U-BLC1
NA	U343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	U343	NA	NA	NA	NA	NA	NA
NA	UACC-893	NA	UACC-893	UACC-893	NA	NA	UACC893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1782	UACC-893
NA	UM-UC-1	NA	NA	NA	UM-UC-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UMUC1	NA	NA	NA	UMUC1	CVCL_2743	UM-UC-1
NA	UMRC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2739	UM-RC-2
NA	UMRC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2741	UM-RC-6
NA	UOK101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UOK101	NA	NA	NA	NA	CVCL_B076	UOK101
NA	UT-7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2233	UT-7
NA	VCaP	NA	VCaP	VCaP	VCaP	NA	NA	NA	NA	NA	NA	NA	NA	NA	VCaP	NA	NA	NA	NA	NA	VCAP	NA	NA	NA	NA	CVCL_2235	VCaP
NA	VMRC-LCD	NA	VMRC-LCD	VMRC-LCD	VMRC-LCD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1787	VMRC-LCD
NA	VMRC-LCP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1788	VMRC-LCP
NA	VMRC-RCW	NA	NA	VMRC-RCW	VMRC-RCW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VMRCRCW	NA	NA	NA	VMRCRCW	CVCL_1790	VMRC-RCW
NA	WM-266-4	NA	WM-266-4	NA	WM-266-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WM2664	NA	NA	NA	WM2664	CVCL_2765	WM266-4
NA	WM-793	NA	NA	NA	WM-793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WM793	NA	NA	NA	WM793	CVCL_8787	WM793
NA	WM-88	NA	NA	NA	WM-88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WM88	NA	NA	NA	WM88	CVCL_6805	WM88
NA	WM-983B	NA	NA	NA	WM-983B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WM983B	NA	NA	NA	WM983B	CVCL_6809	WM983B
NA	WM1799	NA	NA	NA	WM1799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WM1799	NA	NA	NA	WM1799	CVCL_A341	WM1799
NA	WSU-DLCL2	NA	WSU-DLCL2	WSU-DLCL2	WSU-DLCL2	NA	WSUDLCL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WSU-DLCL2	NA	NA	WSU-DLCL2	NA	NA	CVCL_1902	WSU-DLCL2
NA	YD-10B	NA	NA	NA	YD-10B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	YD10B	CVCL_8929	YD-10B
NA	YD-15	NA	NA	NA	YD-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	YD15	NA	NA	NA	YD15	CVCL_8930	YD-15
